commander_id,current_name,current_order,proposed_community_order,status,notes
09aa3c2b-a2ba-4e14-bbc9-7aedc1665a44,"Gale, Waterdeep Prodigy / Passionate Archaeologist","Gale, Waterdeep Prodigy / Passionate Archaeologist",,,
1514fb78-b5f9-4952-b214-0e0cc559a5ae,"Gale, Waterdeep Prodigy / Scion of Halaster","Gale, Waterdeep Prodigy / Scion of Halaster",,,
6632cecd-1a03-4b34-a8bf-a0f397a578d8,"Gale, Waterdeep Prodigy / Street Urchin","Gale, Waterdeep Prodigy / Street Urchin",,,
23df7c7b-3e7d-40a4-b344-4fdbfba46981,"Ghost of Ramirez DePietro / Tymna the Weaver","Ghost of Ramirez DePietro / Tymna the Weaver",,,
b65f66c6-8fee-4f7d-a7af-17cecf8a36dc,"Ghyrson Starn, Kelermorph / Ob Nixilis, Captive Kingpin","Ghyrson Starn, Kelermorph / Ob Nixilis, Captive Kingpin",,,
c8d54395-008b-4290-9fcc-e12246867115,"Gilanra, Caller of Wirewood / Kodama of the East Tree","Gilanra, Caller of Wirewood / Kodama of the East Tree",,,
b23419e8-97ac-43b6-9b46-419c5c56c547,"Gilanra, Caller of Wirewood / Numa, Joraga Chieftain","Gilanra, Caller of Wirewood / Numa, Joraga Chieftain",,,
80701467-58ba-4b5e-b43b-f326112d7b36,"Gilanra, Caller of Wirewood / Vial Smasher the Fierce","Gilanra, Caller of Wirewood / Vial Smasher the Fierce",,,
ecd61666-6fa5-4362-bff2-30986e974cf4,"Gishath, Sun's Avatar / Kaheera, the Orphanguard","Gishath, Sun's Avatar / Kaheera, the Orphanguard",,,
3e83e717-c38d-483a-b775-57ae8c773ed5,"Godo, Bandit Warlord / Kutzil, Malamet Exemplar","Godo, Bandit Warlord / Kutzil, Malamet Exemplar",,,
29dc309e-19f7-4742-9d2d-5a1e8d91ead4,"Graham O'Brien / The Fourteenth Doctor","Graham O'Brien / The Fourteenth Doctor",,,
d5e17853-3d0c-401b-b293-a2f81ef5f679,"Gyruda, Doom of Depths / Ragavan, Nimble Pilferer","Gyruda, Doom of Depths / Ragavan, Nimble Pilferer",,,
2a7958b9-22e2-4e85-9463-f54b4819776b,"Halana, Kessig Ranger / Ishai, Ojutai Dragonspeaker","Halana, Kessig Ranger / Ishai, Ojutai Dragonspeaker",,,
3aeb275c-c28e-49f8-b3c6-1642ab136582,"Halana, Kessig Ranger / Thrasios, Triton Hero","Halana, Kessig Ranger / Thrasios, Triton Hero",,,
4d77a2aa-06f0-4c37-9262-918c6d12e7a7,"Halana, Kessig Ranger / Tymna the Weaver","Halana, Kessig Ranger / Tymna the Weaver",,,
b0d9ea08-b864-4694-a39e-5349f718d8ec,"Haldan, Avid Arcanist / Pako, Arcane Retriever","Haldan, Avid Arcanist / Pako, Arcane Retriever",,,
97ccfd08-f7e1-4716-aad8-983bc7dc1bc7,"Hapatra, Vizier of Poisons / The Scorpion God","Hapatra, Vizier of Poisons / The Scorpion God",,,
8a660710-c406-4379-a066-b20b284090af,"Hardy Outlander / Karlach, Fury of Avernus","Hardy Outlander / Karlach, Fury of Avernus",,,
07a0b18b-4590-4cc5-b0a2-3389e439639a,"Hargilde, Kindly Runechanter / Wernog, Rider's Chaplain","Hargilde, Kindly Runechanter / Wernog, Rider's Chaplain",,,
8230a2cd-c15f-4a5f-a530-d901dd505a4c,"Haunted One / Volo, Itinerant Scholar","Haunted One / Volo, Itinerant Scholar",,,
36ea6f6d-c949-40c9-aa10-bfe8f242d54f,"Haunted One / Zellix, Sanity Flayer","Haunted One / Zellix, Sanity Flayer",,,
40a7dd65-cd03-47d2-9da1-461c1938f1fe,"Ikra Shidiqi, the Usurper / Ishai, Ojutai Dragonspeaker","Ikra Shidiqi, the Usurper / Ishai, Ojutai Dragonspeaker",,,
ef6997d5-f972-44cc-99f1-6130b1ab6365,"Ikra Shidiqi, the Usurper / Krark, the Thumbless","Ikra Shidiqi, the Usurper / Krark, the Thumbless",,,
1e54be36-2d45-4cfd-a611-ff1894689f8e,"Ikra Shidiqi, the Usurper / Kraum, Ludevic's Opus","Ikra Shidiqi, the Usurper / Kraum, Ludevic's Opus",,,
efc52040-4dad-4451-89c6-25ac6505bb7b,"Ikra Shidiqi, the Usurper / Malcolm, Keen-Eyed Navigator","Ikra Shidiqi, the Usurper / Malcolm, Keen-Eyed Navigator",,,
ffd6f2ae-233d-4422-924b-11f95657ab57,"Ikra Shidiqi, the Usurper / Rograkh, Son of Rohgahh","Ikra Shidiqi, the Usurper / Rograkh, Son of Rohgahh",,,
6673cb1c-a862-41c1-b7e5-c1dd3a01234f,"Ikra Shidiqi, the Usurper / Thrasios, Triton Hero","Ikra Shidiqi, the Usurper / Thrasios, Triton Hero",,,
51f6a544-fe7b-4618-bf48-ce480905921e,"Ikra Shidiqi, the Usurper / Tymna the Weaver","Ikra Shidiqi, the Usurper / Tymna the Weaver",,,
fc63ee0b-277d-4e77-9936-cce44d8cd055,"Imskir Iron-Eater / Tetzin, Gnome Champion","Imskir Iron-Eater / Tetzin, Gnome Champion",,,
92e0a81a-90f8-464f-a456-37ba852a1984,"Inalla, Archmage Ritualist / Unctus, Grand Metatect","Inalla, Archmage Ritualist / Unctus, Grand Metatect",,,
22796f6d-d408-473f-b070-0aa021981ef1,"Inga and Esika / Kinnan, Bonder Prodigy","Inga and Esika / Kinnan, Bonder Prodigy",,,
959fa1ad-6fee-4b75-9c76-644d43fc67ca,"Inspiring Leader / Lae'zel, Vlaakith's Champion","Inspiring Leader / Lae'zel, Vlaakith's Champion",,,
94311b24-4aee-4379-ab8b-e89ea9d59560,"Inspirit, Flagship Vessel / Kilo, Apogee Mind","Inspirit, Flagship Vessel / Kilo, Apogee Mind",,,
6ffc4a60-5f10-4119-a43a-cf57a3095142,"Ishai, Ojutai Dragonspeaker / Jeska, Thrice Reborn","Ishai, Ojutai Dragonspeaker / Jeska, Thrice Reborn",,,
cd91076a-bf23-497c-92db-57df1f12f0d4,"Ishai, Ojutai Dragonspeaker / Kediss, Emberclaw Familiar","Ishai, Ojutai Dragonspeaker / Kediss, Emberclaw Familiar",,,
b4ab5feb-c51e-4393-9c19-d01090bc9c47,"Ishai, Ojutai Dragonspeaker / Keleth, Sunmane Familiar","Ishai, Ojutai Dragonspeaker / Keleth, Sunmane Familiar",,,
48fdbbdd-f3a3-41a1-af2e-442719d33129,"Ishai, Ojutai Dragonspeaker / Kodama of the East Tree","Ishai, Ojutai Dragonspeaker / Kodama of the East Tree",,,
18389cb2-4918-4685-9ec9-6f6400dd73f5,"Ishai, Ojutai Dragonspeaker / Krark, the Thumbless","Ishai, Ojutai Dragonspeaker / Krark, the Thumbless",,,
0c1de291-ab01-45f5-8070-f42748dd2e51,"Ishai, Ojutai Dragonspeaker / Reyhan, Last of the Abzan","Ishai, Ojutai Dragonspeaker / Reyhan, Last of the Abzan",,,
ec7a4eaf-6d05-4b3f-80d9-908e3f04258b,"Ishai, Ojutai Dragonspeaker / Tana, the Bloodsower","Ishai, Ojutai Dragonspeaker / Tana, the Bloodsower",,,
58d7db87-43cb-4059-a729-efaf6f677e06,"Ishai, Ojutai Dragonspeaker / Tevesh Szat, Doom of Fools","Ishai, Ojutai Dragonspeaker / Tevesh Szat, Doom of Fools",,,
3cccb4f1-3828-4743-99fb-694a2fbb3df8,"Ishai, Ojutai Dragonspeaker / Thrasios, Triton Hero","Ishai, Ojutai Dragonspeaker / Thrasios, Triton Hero",,,
92f65cec-04ab-47e1-9db9-668f04d81b0c,"Ishai, Ojutai Dragonspeaker / Tymna the Weaver","Ishai, Ojutai Dragonspeaker / Tymna the Weaver",,,
fb3b1017-b428-4024-91ab-a9c837264500,"Ishai, Ojutai Dragonspeaker / Vial Smasher the Fierce","Ishai, Ojutai Dragonspeaker / Vial Smasher the Fierce",,,
